(50000, 7)
(50000, 7)
char_to_id:  {'6': 0, '4': 1, '7': 2, '+': 3, '0': 4, ' ': 5, '_': 6, '8': 7, '*': 8, '9': 9, '3': 10, '2': 11, '5': 12, '1': 13}
id_to_char:  {0: '6', 1: '4', 2: '7', 3: '+', 4: '0', 5: ' ', 6: '_', 7: '8', 8: '*', 9: '9', 10: '3', 11: '2', 12: '5', 13: '1'}
| 에폭 1 |  반복 1 / 351 | 시간 0[s] | 손실 2.64
| 에폭 5 |  반복 101 / 351 | 시간 3[s] | 손실 1.43
| 에폭 5 |  반복 121 / 351 | 시간 4[s] | 손실 1.42
| 에폭 5 |  반복 141 / 351 | 시간 5[s] | 손실 1.40
| 에폭 5 |  반복 161 / 351 | 시간 6[s] | 손실 1.40
| 에폭 5 |  반복 181 / 351 | 시간 6[s] | 손실 1.40
| 에폭 5 |  반복 201 / 351 | 시간 7[s] | 손실 1.40
| 에폭 5 |  반복 221 / 351 | 시간 8[s] | 손실 1.39
| 에폭 5 |  반복 241 / 351 | 시간 9[s] | 손실 1.39
| 에폭 5 |  반복 261 / 351 | 시간 10[s] | 손실 1.38
| 에폭 5 |  반복 281 / 351 | 시간 10[s] | 손실 1.39
| 에폭 5 |  반복 301 / 351 | 시간 11[s] | 손실 1.38
| 에폭 5 |  반복 321 / 351 | 시간 12[s] | 손실 1.38
| 에폭 5 |  반복 341 / 351 | 시간 13[s] | 손실 1.37
| 에폭 5 |  반복 1 / 351 | 시간 0[s] | 손실 1.45
| 에폭 5 |  반복 21 / 351 | 시간 0[s] | 손실 1.47
| 에폭 5 |  반복 41 / 351 | 시간 1[s] | 손실 1.48
| 에폭 5 |  반복 61 / 351 | 시간 2[s] | 손실 1.46
| 에폭 5 |  반복 81 / 351 | 시간 2[s] | 손실 1.48
| 에폭 5 |  반복 101 / 351 | 시간 3[s] | 손실 1.47
| 에폭 5 |  반복 121 / 351 | 시간 4[s] | 손실 1.47
| 에폭 5 |  반복 141 / 351 | 시간 5[s] | 손실 1.47
| 에폭 5 |  반복 161 / 351 | 시간 6[s] | 손실 1.48
| 에폭 5 |  반복 181 / 351 | 시간 7[s] | 손실 1.47
| 에폭 5 |  반복 201 / 351 | 시간 7[s] | 손실 1.46
| 에폭 5 |  반복 221 / 351 | 시간 8[s] | 손실 1.47
| 에폭 5 |  반복 241 / 351 | 시간 9[s] | 손실 1.46
| 에폭 5 |  반복 261 / 351 | 시간 9[s] | 손실 1.46
| 에폭 5 |  반복 281 / 351 | 시간 10[s] | 손실 1.46
| 에폭 5 |  반복 301 / 351 | 시간 11[s] | 손실 1.46
| 에폭 5 |  반복 321 / 351 | 시간 12[s] | 손실 1.46
| 에폭 5 |  반복 341 / 351 | 시간 12[s] | 손실 1.47
| 에폭 5 |  반복 1 / 351 | 시간 0[s] | 손실 1.47
| 에폭 5 |  반복 21 / 351 | 시간 0[s] | 손실 1.45
| 에폭 5 |  반복 41 / 351 | 시간 1[s] | 손실 1.47
| 에폭 5 |  반복 61 / 351 | 시간 2[s] | 손실 1.45
| 에폭 5 |  반복 81 / 351 | 시간 2[s] | 손실 1.45
| 에폭 5 |  반복 101 / 351 | 시간 3[s] | 손실 1.46
| 에폭 5 |  반복 121 / 351 | 시간 4[s] | 손실 1.48
| 에폭 5 |  반복 141 / 351 | 시간 5[s] | 손실 1.45
| 에폭 5 |  반복 161 / 351 | 시간 5[s] | 손실 1.46
| 에폭 5 |  반복 181 / 351 | 시간 6[s] | 손실 1.44
| 에폭 5 |  반복 201 / 351 | 시간 7[s] | 손실 1.45
| 에폭 5 |  반복 221 / 351 | 시간 8[s] | 손실 1.45
| 에폭 5 |  반복 241 / 351 | 시간 8[s] | 손실 1.44
| 에폭 5 |  반복 261 / 351 | 시간 9[s] | 손실 1.44
| 에폭 5 |  반복 281 / 351 | 시간 10[s] | 손실 1.46
| 에폭 5 |  반복 301 / 351 | 시간 11[s] | 손실 1.45
| 에폭 5 |  반복 321 / 351 | 시간 11[s] | 손실 1.45
| 에폭 5 |  반복 341 / 351 | 시간 12[s] | 손실 1.44
| 에폭 5 |  반복 1 / 351 | 시간 0[s] | 손실 1.47
| 에폭 5 |  반복 21 / 351 | 시간 0[s] | 손실 1.45
| 에폭 5 |  반복 41 / 351 | 시간 1[s] | 손실 1.47
| 에폭 5 |  반복 61 / 351 | 시간 2[s] | 손실 1.46
| 에폭 5 |  반복 81 / 351 | 시간 2[s] | 손실 1.48
| 에폭 5 |  반복 101 / 351 | 시간 3[s] | 손실 1.48
| 에폭 5 |  반복 121 / 351 | 시간 4[s] | 손실 1.46
| 에폭 5 |  반복 141 / 351 | 시간 5[s] | 손실 1.47
| 에폭 5 |  반복 161 / 351 | 시간 5[s] | 손실 1.46
| 에폭 5 |  반복 181 / 351 | 시간 6[s] | 손실 1.46
| 에폭 5 |  반복 201 / 351 | 시간 7[s] | 손실 1.46
| 에폭 5 |  반복 221 / 351 | 시간 7[s] | 손실 1.48
| 에폭 5 |  반복 241 / 351 | 시간 8[s] | 손실 1.47
| 에폭 5 |  반복 261 / 351 | 시간 9[s] | 손실 1.46
| 에폭 5 |  반복 281 / 351 | 시간 10[s] | 손실 1.46
| 에폭 5 |  반복 301 / 351 | 시간 10[s] | 손실 1.47
| 에폭 5 |  반복 321 / 351 | 시간 11[s] | 손실 1.46
| 에폭 5 |  반복 341 / 351 | 시간 12[s] | 손실 1.45
| 에폭 5 |  반복 1 / 351 | 시간 0[s] | 손실 1.51
| 에폭 5 |  반복 21 / 351 | 시간 0[s] | 손실 1.47
| 에폭 5 |  반복 41 / 351 | 시간 1[s] | 손실 1.46
| 에폭 5 |  반복 61 / 351 | 시간 2[s] | 손실 1.48
| 에폭 5 |  반복 81 / 351 | 시간 2[s] | 손실 1.46
| 에폭 5 |  반복 101 / 351 | 시간 3[s] | 손실 1.47
| 에폭 5 |  반복 121 / 351 | 시간 4[s] | 손실 1.46
| 에폭 5 |  반복 141 / 351 | 시간 5[s] | 손실 1.47
| 에폭 5 |  반복 161 / 351 | 시간 5[s] | 손실 1.47
| 에폭 5 |  반복 181 / 351 | 시간 6[s] | 손실 1.47
| 에폭 5 |  반복 201 / 351 | 시간 7[s] | 손실 1.46
| 에폭 5 |  반복 221 / 351 | 시간 7[s] | 손실 1.47
| 에폭 5 |  반복 241 / 351 | 시간 8[s] | 손실 1.45
| 에폭 5 |  반복 261 / 351 | 시간 9[s] | 손실 1.46
| 에폭 5 |  반복 281 / 351 | 시간 10[s] | 손실 1.45
| 에폭 5 |  반복 301 / 351 | 시간 10[s] | 손실 1.45
| 에폭 5 |  반복 321 / 351 | 시간 11[s] | 손실 1.47
| 에폭 5 |  반복 341 / 351 | 시간 12[s] | 손실 1.46
검증 정확도 0.160%
| 에폭 6 |  반복 1 / 351 | 시간 0[s] | 손실 1.41
| 에폭 6 |  반복 21 / 351 | 시간 0[s] | 손실 1.37
| 에폭 6 |  반복 41 / 351 | 시간 1[s] | 손실 1.39
| 에폭 6 |  반복 61 / 351 | 시간 2[s] | 손실 1.36
| 에폭 6 |  반복 81 / 351 | 시간 3[s] | 손실 1.36
| 에폭 6 |  반복 101 / 351 | 시간 3[s] | 손실 1.34
| 에폭 6 |  반복 121 / 351 | 시간 4[s] | 손실 1.34
| 에폭 6 |  반복 141 / 351 | 시간 5[s] | 손실 1.35
| 에폭 6 |  반복 161 / 351 | 시간 6[s] | 손실 1.34
| 에폭 6 |  반복 181 / 351 | 시간 7[s] | 손실 1.33
| 에폭 6 |  반복 201 / 351 | 시간 7[s] | 손실 1.34
| 에폭 6 |  반복 221 / 351 | 시간 8[s] | 손실 1.34
| 에폭 6 |  반복 241 / 351 | 시간 9[s] | 손실 1.33
| 에폭 6 |  반복 261 / 351 | 시간 10[s] | 손실 1.33
| 에폭 6 |  반복 281 / 351 | 시간 10[s] | 손실 1.32
| 에폭 6 |  반복 301 / 351 | 시간 11[s] | 손실 1.33
| 에폭 6 |  반복 321 / 351 | 시간 12[s] | 손실 1.31
| 에폭 6 |  반복 341 / 351 | 시간 13[s] | 손실 1.30
| 에폭 6 |  반복 1 / 351 | 시간 0[s] | 손실 1.50
| 에폭 6 |  반복 21 / 351 | 시간 0[s] | 손실 1.46
| 에폭 6 |  반복 41 / 351 | 시간 1[s] | 손실 1.44
| 에폭 6 |  반복 61 / 351 | 시간 2[s] | 손실 1.46
| 에폭 6 |  반복 81 / 351 | 시간 2[s] | 손실 1.46
| 에폭 6 |  반복 101 / 351 | 시간 3[s] | 손실 1.45
| 에폭 6 |  반복 121 / 351 | 시간 4[s] | 손실 1.47
| 에폭 6 |  반복 141 / 351 | 시간 5[s] | 손실 1.46
| 에폭 6 |  반복 161 / 351 | 시간 5[s] | 손실 1.46
| 에폭 6 |  반복 181 / 351 | 시간 6[s] | 손실 1.45
| 에폭 6 |  반복 201 / 351 | 시간 7[s] | 손실 1.45
| 에폭 6 |  반복 221 / 351 | 시간 7[s] | 손실 1.46
| 에폭 6 |  반복 241 / 351 | 시간 8[s] | 손실 1.45
| 에폭 6 |  반복 261 / 351 | 시간 9[s] | 손실 1.45
| 에폭 6 |  반복 281 / 351 | 시간 10[s] | 손실 1.45
| 에폭 6 |  반복 301 / 351 | 시간 10[s] | 손실 1.46
| 에폭 6 |  반복 321 / 351 | 시간 11[s] | 손실 1.44
| 에폭 6 |  반복 341 / 351 | 시간 12[s] | 손실 1.45
| 에폭 6 |  반복 1 / 351 | 시간 0[s] | 손실 1.50
| 에폭 6 |  반복 21 / 351 | 시간 0[s] | 손실 1.44
| 에폭 6 |  반복 41 / 351 | 시간 1[s] | 손실 1.44
| 에폭 6 |  반복 61 / 351 | 시간 2[s] | 손실 1.45
| 에폭 6 |  반복 81 / 351 | 시간 3[s] | 손실 1.44
| 에폭 6 |  반복 101 / 351 | 시간 3[s] | 손실 1.43
| 에폭 6 |  반복 121 / 351 | 시간 4[s] | 손실 1.45
| 에폭 6 |  반복 141 / 351 | 시간 5[s] | 손실 1.44
| 에폭 6 |  반복 161 / 351 | 시간 6[s] | 손실 1.44
| 에폭 6 |  반복 181 / 351 | 시간 6[s] | 손실 1.43
| 에폭 6 |  반복 201 / 351 | 시간 7[s] | 손실 1.42
| 에폭 6 |  반복 221 / 351 | 시간 8[s] | 손실 1.44
| 에폭 6 |  반복 241 / 351 | 시간 9[s] | 손실 1.42
| 에폭 6 |  반복 261 / 351 | 시간 9[s] | 손실 1.44
| 에폭 6 |  반복 281 / 351 | 시간 10[s] | 손실 1.41
| 에폭 6 |  반복 301 / 351 | 시간 11[s] | 손실 1.42
| 에폭 6 |  반복 321 / 351 | 시간 12[s] | 손실 1.43
| 에폭 6 |  반복 341 / 351 | 시간 12[s] | 손실 1.42
| 에폭 6 |  반복 1 / 351 | 시간 0[s] | 손실 1.45
| 에폭 6 |  반복 21 / 351 | 시간 0[s] | 손실 1.45
| 에폭 6 |  반복 41 / 351 | 시간 1[s] | 손실 1.46
| 에폭 6 |  반복 61 / 351 | 시간 2[s] | 손실 1.45
| 에폭 6 |  반복 81 / 351 | 시간 2[s] | 손실 1.45
| 에폭 6 |  반복 101 / 351 | 시간 3[s] | 손실 1.46
| 에폭 6 |  반복 121 / 351 | 시간 4[s] | 손실 1.45
| 에폭 6 |  반복 141 / 351 | 시간 5[s] | 손실 1.45
| 에폭 6 |  반복 161 / 351 | 시간 5[s] | 손실 1.45
| 에폭 6 |  반복 181 / 351 | 시간 6[s] | 손실 1.46
| 에폭 6 |  반복 201 / 351 | 시간 7[s] | 손실 1.45
| 에폭 6 |  반복 221 / 351 | 시간 8[s] | 손실 1.44
| 에폭 6 |  반복 241 / 351 | 시간 8[s] | 손실 1.45
| 에폭 6 |  반복 261 / 351 | 시간 9[s] | 손실 1.44
| 에폭 6 |  반복 281 / 351 | 시간 10[s] | 손실 1.45
| 에폭 6 |  반복 301 / 351 | 시간 10[s] | 손실 1.45
| 에폭 6 |  반복 321 / 351 | 시간 11[s] | 손실 1.44
| 에폭 6 |  반복 341 / 351 | 시간 12[s] | 손실 1.45
| 에폭 6 |  반복 1 / 351 | 시간 0[s] | 손실 1.42
| 에폭 6 |  반복 21 / 351 | 시간 0[s] | 손실 1.45
| 에폭 6 |  반복 41 / 351 | 시간 1[s] | 손실 1.47
| 에폭 6 |  반복 61 / 351 | 시간 2[s] | 손실 1.44
| 에폭 6 |  반복 81 / 351 | 시간 2[s] | 손실 1.45
| 에폭 6 |  반복 101 / 351 | 시간 3[s] | 손실 1.44
| 에폭 6 |  반복 121 / 351 | 시간 4[s] | 손실 1.46
| 에폭 6 |  반복 141 / 351 | 시간 5[s] | 손실 1.47
| 에폭 6 |  반복 161 / 351 | 시간 5[s] | 손실 1.45
| 에폭 6 |  반복 181 / 351 | 시간 6[s] | 손실 1.45
| 에폭 6 |  반복 201 / 351 | 시간 7[s] | 손실 1.43
| 에폭 6 |  반복 221 / 351 | 시간 8[s] | 손실 1.45
| 에폭 6 |  반복 241 / 351 | 시간 8[s] | 손실 1.45
| 에폭 6 |  반복 261 / 351 | 시간 9[s] | 손실 1.45
| 에폭 6 |  반복 281 / 351 | 시간 10[s] | 손실 1.44
| 에폭 6 |  반복 301 / 351 | 시간 11[s] | 손실 1.44
| 에폭 6 |  반복 321 / 351 | 시간 11[s] | 손실 1.43
| 에폭 6 |  반복 341 / 351 | 시간 12[s] | 손실 1.45
검증 정확도 0.180%
| 에폭 7 |  반복 1 / 351 | 시간 0[s] | 손실 1.34
| 에폭 7 |  반복 21 / 351 | 시간 0[s] | 손실 1.31
| 에폭 7 |  반복 41 / 351 | 시간 1[s] | 손실 1.31
| 에폭 7 |  반복 61 / 351 | 시간 2[s] | 손실 1.28
| 에폭 7 |  반복 81 / 351 | 시간 3[s] | 손실 1.30
| 에폭 7 |  반복 101 / 351 | 시간 4[s] | 손실 1.30
| 에폭 7 |  반복 121 / 351 | 시간 4[s] | 손실 1.27
| 에폭 7 |  반복 141 / 351 | 시간 5[s] | 손실 1.28
| 에폭 7 |  반복 161 / 351 | 시간 6[s] | 손실 1.27
| 에폭 7 |  반복 181 / 351 | 시간 7[s] | 손실 1.28
| 에폭 7 |  반복 201 / 351 | 시간 7[s] | 손실 1.26
| 에폭 7 |  반복 221 / 351 | 시간 8[s] | 손실 1.26
| 에폭 7 |  반복 241 / 351 | 시간 9[s] | 손실 1.26
| 에폭 7 |  반복 261 / 351 | 시간 10[s] | 손실 1.25
| 에폭 7 |  반복 281 / 351 | 시간 11[s] | 손실 1.23
| 에폭 7 |  반복 301 / 351 | 시간 11[s] | 손실 1.24
| 에폭 7 |  반복 321 / 351 | 시간 12[s] | 손실 1.24
| 에폭 7 |  반복 341 / 351 | 시간 13[s] | 손실 1.24
| 에폭 7 |  반복 1 / 351 | 시간 0[s] | 손실 1.49
| 에폭 7 |  반복 21 / 351 | 시간 0[s] | 손실 1.45
| 에폭 7 |  반복 41 / 351 | 시간 1[s] | 손실 1.45
| 에폭 7 |  반복 61 / 351 | 시간 2[s] | 손실 1.43
| 에폭 7 |  반복 81 / 351 | 시간 2[s] | 손실 1.44
| 에폭 7 |  반복 101 / 351 | 시간 3[s] | 손실 1.42
| 에폭 7 |  반복 121 / 351 | 시간 4[s] | 손실 1.44
| 에폭 7 |  반복 141 / 351 | 시간 5[s] | 손실 1.45
| 에폭 7 |  반복 161 / 351 | 시간 5[s] | 손실 1.44
| 에폭 7 |  반복 181 / 351 | 시간 6[s] | 손실 1.45
| 에폭 7 |  반복 201 / 351 | 시간 7[s] | 손실 1.44
| 에폭 7 |  반복 221 / 351 | 시간 8[s] | 손실 1.44
| 에폭 7 |  반복 241 / 351 | 시간 8[s] | 손실 1.45
| 에폭 7 |  반복 261 / 351 | 시간 9[s] | 손실 1.43
| 에폭 7 |  반복 281 / 351 | 시간 10[s] | 손실 1.43
| 에폭 7 |  반복 301 / 351 | 시간 11[s] | 손실 1.44
| 에폭 7 |  반복 321 / 351 | 시간 11[s] | 손실 1.43
| 에폭 7 |  반복 341 / 351 | 시간 12[s] | 손실 1.43
| 에폭 7 |  반복 1 / 351 | 시간 0[s] | 손실 1.42
| 에폭 7 |  반복 21 / 351 | 시간 0[s] | 손실 1.41
| 에폭 7 |  반복 41 / 351 | 시간 1[s] | 손실 1.41
| 에폭 7 |  반복 61 / 351 | 시간 2[s] | 손실 1.41
| 에폭 7 |  반복 81 / 351 | 시간 3[s] | 손실 1.41
| 에폭 7 |  반복 101 / 351 | 시간 3[s] | 손실 1.40
| 에폭 7 |  반복 121 / 351 | 시간 4[s] | 손실 1.40
| 에폭 7 |  반복 141 / 351 | 시간 5[s] | 손실 1.38
| 에폭 7 |  반복 161 / 351 | 시간 6[s] | 손실 1.40
| 에폭 7 |  반복 181 / 351 | 시간 6[s] | 손실 1.40
| 에폭 7 |  반복 201 / 351 | 시간 7[s] | 손실 1.39
| 에폭 7 |  반복 221 / 351 | 시간 8[s] | 손실 1.38
| 에폭 7 |  반복 241 / 351 | 시간 9[s] | 손실 1.38
| 에폭 7 |  반복 261 / 351 | 시간 9[s] | 손실 1.38
| 에폭 7 |  반복 281 / 351 | 시간 10[s] | 손실 1.39
| 에폭 7 |  반복 301 / 351 | 시간 11[s] | 손실 1.37
| 에폭 7 |  반복 321 / 351 | 시간 12[s] | 손실 1.37
| 에폭 7 |  반복 341 / 351 | 시간 13[s] | 손실 1.38
| 에폭 7 |  반복 1 / 351 | 시간 0[s] | 손실 1.42
| 에폭 7 |  반복 21 / 351 | 시간 0[s] | 손실 1.44
| 에폭 7 |  반복 41 / 351 | 시간 1[s] | 손실 1.43
| 에폭 7 |  반복 61 / 351 | 시간 2[s] | 손실 1.45
| 에폭 7 |  반복 81 / 351 | 시간 3[s] | 손실 1.43
| 에폭 7 |  반복 101 / 351 | 시간 4[s] | 손실 1.43
| 에폭 7 |  반복 121 / 351 | 시간 5[s] | 손실 1.42
| 에폭 7 |  반복 141 / 351 | 시간 6[s] | 손실 1.43
| 에폭 7 |  반복 161 / 351 | 시간 6[s] | 손실 1.44
| 에폭 7 |  반복 181 / 351 | 시간 7[s] | 손실 1.43
| 에폭 7 |  반복 201 / 351 | 시간 8[s] | 손실 1.43
| 에폭 7 |  반복 221 / 351 | 시간 8[s] | 손실 1.43
| 에폭 7 |  반복 241 / 351 | 시간 9[s] | 손실 1.42
| 에폭 7 |  반복 261 / 351 | 시간 10[s] | 손실 1.42
| 에폭 7 |  반복 281 / 351 | 시간 11[s] | 손실 1.41
| 에폭 7 |  반복 301 / 351 | 시간 11[s] | 손실 1.43
| 에폭 7 |  반복 321 / 351 | 시간 12[s] | 손실 1.41
| 에폭 7 |  반복 341 / 351 | 시간 13[s] | 손실 1.41
| 에폭 7 |  반복 1 / 351 | 시간 0[s] | 손실 1.42
| 에폭 7 |  반복 21 / 351 | 시간 0[s] | 손실 1.44
| 에폭 7 |  반복 41 / 351 | 시간 1[s] | 손실 1.42
| 에폭 7 |  반복 61 / 351 | 시간 2[s] | 손실 1.44
| 에폭 7 |  반복 81 / 351 | 시간 3[s] | 손실 1.43
| 에폭 7 |  반복 101 / 351 | 시간 3[s] | 손실 1.43
| 에폭 7 |  반복 121 / 351 | 시간 4[s] | 손실 1.43
| 에폭 7 |  반복 141 / 351 | 시간 5[s] | 손실 1.43
| 에폭 7 |  반복 161 / 351 | 시간 5[s] | 손실 1.40
| 에폭 7 |  반복 181 / 351 | 시간 6[s] | 손실 1.42
| 에폭 7 |  반복 201 / 351 | 시간 7[s] | 손실 1.43
| 에폭 7 |  반복 221 / 351 | 시간 8[s] | 손실 1.40
| 에폭 7 |  반복 241 / 351 | 시간 8[s] | 손실 1.43
| 에폭 7 |  반복 261 / 351 | 시간 9[s] | 손실 1.42
| 에폭 7 |  반복 281 / 351 | 시간 10[s] | 손실 1.42
| 에폭 7 |  반복 301 / 351 | 시간 11[s] | 손실 1.42
| 에폭 7 |  반복 321 / 351 | 시간 11[s] | 손실 1.41
| 에폭 7 |  반복 341 / 351 | 시간 12[s] | 손실 1.41
검증 정확도 0.280%
| 에폭 8 |  반복 1 / 351 | 시간 0[s] | 손실 1.23
| 에폭 8 |  반복 21 / 351 | 시간 0[s] | 손실 1.23
| 에폭 8 |  반복 41 / 351 | 시간 1[s] | 손실 1.23
| 에폭 8 |  반복 61 / 351 | 시간 2[s] | 손실 1.23
| 에폭 8 |  반복 81 / 351 | 시간 3[s] | 손실 1.21
| 에폭 8 |  반복 101 / 351 | 시간 3[s] | 손실 1.20
| 에폭 8 |  반복 121 / 351 | 시간 4[s] | 손실 1.21
| 에폭 8 |  반복 141 / 351 | 시간 5[s] | 손실 1.21
| 에폭 8 |  반복 161 / 351 | 시간 6[s] | 손실 1.21
| 에폭 8 |  반복 181 / 351 | 시간 7[s] | 손실 1.21
| 에폭 8 |  반복 201 / 351 | 시간 7[s] | 손실 1.21
| 에폭 8 |  반복 221 / 351 | 시간 8[s] | 손실 1.20
| 에폭 8 |  반복 241 / 351 | 시간 9[s] | 손실 1.19
| 에폭 8 |  반복 261 / 351 | 시간 10[s] | 손실 1.20
| 에폭 8 |  반복 281 / 351 | 시간 11[s] | 손실 1.17
| 에폭 8 |  반복 301 / 351 | 시간 11[s] | 손실 1.17
| 에폭 8 |  반복 321 / 351 | 시간 12[s] | 손실 1.18
| 에폭 8 |  반복 341 / 351 | 시간 13[s] | 손실 1.18
| 에폭 8 |  반복 1 / 351 | 시간 0[s] | 손실 1.41
| 에폭 8 |  반복 21 / 351 | 시간 0[s] | 손실 1.42
| 에폭 8 |  반복 41 / 351 | 시간 1[s] | 손실 1.43
| 에폭 8 |  반복 61 / 351 | 시간 2[s] | 손실 1.44
| 에폭 8 |  반복 81 / 351 | 시간 2[s] | 손실 1.43
| 에폭 8 |  반복 101 / 351 | 시간 3[s] | 손실 1.43
| 에폭 8 |  반복 121 / 351 | 시간 4[s] | 손실 1.42
| 에폭 8 |  반복 141 / 351 | 시간 5[s] | 손실 1.42
| 에폭 8 |  반복 161 / 351 | 시간 5[s] | 손실 1.43
| 에폭 8 |  반복 181 / 351 | 시간 6[s] | 손실 1.43
| 에폭 8 |  반복 201 / 351 | 시간 7[s] | 손실 1.41
| 에폭 8 |  반복 221 / 351 | 시간 8[s] | 손실 1.42
| 에폭 8 |  반복 241 / 351 | 시간 8[s] | 손실 1.42
| 에폭 8 |  반복 261 / 351 | 시간 9[s] | 손실 1.41
| 에폭 8 |  반복 281 / 351 | 시간 10[s] | 손실 1.40
| 에폭 8 |  반복 301 / 351 | 시간 11[s] | 손실 1.41
| 에폭 8 |  반복 321 / 351 | 시간 11[s] | 손실 1.41
| 에폭 8 |  반복 341 / 351 | 시간 12[s] | 손실 1.41
| 에폭 8 |  반복 1 / 351 | 시간 0[s] | 손실 1.35
| 에폭 8 |  반복 21 / 351 | 시간 0[s] | 손실 1.36
| 에폭 8 |  반복 41 / 351 | 시간 1[s] | 손실 1.34
| 에폭 8 |  반복 61 / 351 | 시간 2[s] | 손실 1.35
| 에폭 8 |  반복 81 / 351 | 시간 3[s] | 손실 1.36
| 에폭 8 |  반복 101 / 351 | 시간 3[s] | 손실 1.34
| 에폭 8 |  반복 121 / 351 | 시간 4[s] | 손실 1.34
| 에폭 8 |  반복 141 / 351 | 시간 5[s] | 손실 1.34
| 에폭 8 |  반복 161 / 351 | 시간 6[s] | 손실 1.34
| 에폭 8 |  반복 181 / 351 | 시간 6[s] | 손실 1.31
| 에폭 8 |  반복 201 / 351 | 시간 7[s] | 손실 1.34
| 에폭 8 |  반복 221 / 351 | 시간 8[s] | 손실 1.33
| 에폭 8 |  반복 241 / 351 | 시간 9[s] | 손실 1.33
| 에폭 8 |  반복 261 / 351 | 시간 10[s] | 손실 1.32
| 에폭 8 |  반복 281 / 351 | 시간 10[s] | 손실 1.30
| 에폭 8 |  반복 301 / 351 | 시간 11[s] | 손실 1.30
| 에폭 8 |  반복 321 / 351 | 시간 12[s] | 손실 1.29
| 에폭 8 |  반복 341 / 351 | 시간 13[s] | 손실 1.29
| 에폭 8 |  반복 1 / 351 | 시간 0[s] | 손실 1.41
| 에폭 8 |  반복 21 / 351 | 시간 0[s] | 손실 1.40
| 에폭 8 |  반복 41 / 351 | 시간 1[s] | 손실 1.42
| 에폭 8 |  반복 61 / 351 | 시간 2[s] | 손실 1.42
| 에폭 8 |  반복 81 / 351 | 시간 3[s] | 손실 1.40
| 에폭 8 |  반복 101 / 351 | 시간 3[s] | 손실 1.41
| 에폭 8 |  반복 121 / 351 | 시간 4[s] | 손실 1.41
| 에폭 8 |  반복 141 / 351 | 시간 5[s] | 손실 1.39
| 에폭 8 |  반복 161 / 351 | 시간 6[s] | 손실 1.39
| 에폭 8 |  반복 181 / 351 | 시간 6[s] | 손실 1.40
| 에폭 8 |  반복 201 / 351 | 시간 7[s] | 손실 1.39
| 에폭 8 |  반복 221 / 351 | 시간 8[s] | 손실 1.40
| 에폭 8 |  반복 241 / 351 | 시간 9[s] | 손실 1.40
| 에폭 8 |  반복 261 / 351 | 시간 9[s] | 손실 1.40
| 에폭 8 |  반복 281 / 351 | 시간 10[s] | 손실 1.39
| 에폭 8 |  반복 301 / 351 | 시간 11[s] | 손실 1.38
| 에폭 8 |  반복 321 / 351 | 시간 12[s] | 손실 1.38
| 에폭 8 |  반복 341 / 351 | 시간 12[s] | 손실 1.37
| 에폭 8 |  반복 1 / 351 | 시간 0[s] | 손실 1.41
| 에폭 8 |  반복 21 / 351 | 시간 0[s] | 손실 1.40
| 에폭 8 |  반복 41 / 351 | 시간 1[s] | 손실 1.40
| 에폭 8 |  반복 61 / 351 | 시간 2[s] | 손실 1.40
| 에폭 8 |  반복 81 / 351 | 시간 3[s] | 손실 1.41
| 에폭 8 |  반복 101 / 351 | 시간 3[s] | 손실 1.40
| 에폭 8 |  반복 121 / 351 | 시간 4[s] | 손실 1.38
| 에폭 8 |  반복 141 / 351 | 시간 5[s] | 손실 1.40
| 에폭 8 |  반복 161 / 351 | 시간 6[s] | 손실 1.38
| 에폭 8 |  반복 181 / 351 | 시간 6[s] | 손실 1.39
| 에폭 8 |  반복 201 / 351 | 시간 7[s] | 손실 1.38
| 에폭 8 |  반복 221 / 351 | 시간 8[s] | 손실 1.38
| 에폭 8 |  반복 241 / 351 | 시간 9[s] | 손실 1.37
| 에폭 8 |  반복 261 / 351 | 시간 9[s] | 손실 1.38
| 에폭 8 |  반복 281 / 351 | 시간 10[s] | 손실 1.36
| 에폭 8 |  반복 301 / 351 | 시간 11[s] | 손실 1.37
| 에폭 8 |  반복 321 / 351 | 시간 12[s] | 손실 1.36
| 에폭 8 |  반복 341 / 351 | 시간 12[s] | 손실 1.36
검증 정확도 0.440%
| 에폭 9 |  반복 1 / 351 | 시간 0[s] | 손실 1.12
| 에폭 9 |  반복 21 / 351 | 시간 0[s] | 손실 1.17
| 에폭 9 |  반복 41 / 351 | 시간 1[s] | 손실 1.18
| 에폭 9 |  반복 61 / 351 | 시간 2[s] | 손실 1.18
| 에폭 9 |  반복 81 / 351 | 시간 3[s] | 손실 1.17
| 에폭 9 |  반복 101 / 351 | 시간 3[s] | 손실 1.17
| 에폭 9 |  반복 121 / 351 | 시간 4[s] | 손실 1.16
| 에폭 9 |  반복 141 / 351 | 시간 5[s] | 손실 1.14
| 에폭 9 |  반복 161 / 351 | 시간 6[s] | 손실 1.15
| 에폭 9 |  반복 181 / 351 | 시간 7[s] | 손실 1.14
| 에폭 9 |  반복 201 / 351 | 시간 7[s] | 손실 1.15
| 에폭 9 |  반복 221 / 351 | 시간 8[s] | 손실 1.16
| 에폭 9 |  반복 241 / 351 | 시간 9[s] | 손실 1.14
| 에폭 9 |  반복 261 / 351 | 시간 10[s] | 손실 1.14
| 에폭 9 |  반복 281 / 351 | 시간 11[s] | 손실 1.15
